Gender,Height,Weight,Index
Female,189,125,2
Female,161,145,2
Female,155,71,2
Female,171,118,2
Female,154,92,2
Male,179,83,2
Male,170,115,2
Female,184,106,1
Female,191,68,1
Male,162,58,2
Male,178,138,1
Female,157,60,1
Male,184,83,1
Male,197,88,1
Female,160,51,2
Male,184,153,0
Male,190,50,2
Male,174,90,2
Female,189,124,2
Female,186,143,0
Female,180,58,2
Female,186,148,0
Female,193,61,2
Male,161,103,2
Female,151,158,2
Female,195,147,2
Female,184,152,2
Male,141,80,2
Female,185,94,2
Female,186,127,2
Male,142,131,2
Female,147,67,2
Male,151,62,2
Female,160,124,0
Male,185,60,1
Female,163,63,2
Male,174,95,2
Female,150,144,2
Male,142,91,2
Male,178,142,2
Female,154,96,2
Male,176,87,2
Male,159,120,0
Male,191,62,2
Male,177,117,2
Male,151,154,2
Female,182,149,1
Female,197,72,2
Male,146,138,2
Female,160,83,2
Female,157,66,1
Female,150,50,1
Female,167,58,1
Female,180,70,1
Female,183,76,2
Female,183,87,2
Female,152,154,2
Female,164,71,2
Male,187,96,2
Male,169,136,2
Female,149,61,2
Male,163,137,2
Female,195,104,2
Male,174,107,1
Male,182,70,2
Male,169,110,2
Male,193,130,2
Male,148,141,1
Male,186,68,2
Male,165,143,2
Female,146,123,2
Female,166,133,0
Male,179,56,2
Female,177,101,2
Male,181,154,2
Female,161,154,2
Female,157,103,2
Female,169,98,2
Female,152,114,1
Female,162,64,2
Male,162,130,1
Female,177,61,0
Female,195,61,2
Male,140,146,2
Female,186,146,2
Female,178,107,0
Male,174,54,0
Female,180,59,2
Male,188,141,2
Female,187,130,2
Female,153,77,2
Female,165,95,1
Female,178,79,2
Female,163,154,2
Female,150,97,2
Male,179,127,1
Male,165,62,2
Male,168,158,2
Female,153,133,2
Male,184,157,0
Male,188,65,2
Female,166,153,2
Female,172,116,1
Male,182,73,2
Male,143,149,2
Male,152,146,2
Female,186,128,2
Male,159,140,2
Male,146,70,2
Female,176,121,2
Female,146,101,2
Male,159,145,2
Male,162,157,2
Female,172,90,2
Female,169,121,0
Male,182,50,1
Female,183,79,1
Male,176,77,2
Female,188,128,1
Female,175,83,2
Male,154,81,2
Female,184,147,2
Male,179,123,2
Male,152,132,0
Male,179,56,2
Female,145,141,1
Female,181,80,2
Male,158,127,2
Female,188,99,2
Male,145,142,2
Male,161,115,2
Male,198,109,2
Male,147,142,2
Male,154,112,1
Female,178,65,2
Male,195,153,2
Female,167,79,2
Male,183,131,2
Female,164,142,1
Male,167,64,1
Female,151,55,2
Female,147,107,2
Female,155,115,2
Female,172,108,2
Female,142,86,2
Male,146,85,2
Female,188,115,2
Male,173,111,2
Female,160,109,1
Male,187,80,2
Male,198,136,2
Female,179,150,1
Female,164,59,2
Female,146,147,0
Female,198,50,0
Female,170,53,2
Male,152,98,2
Female,150,153,2
Female,184,121,2
Female,141,136,2
Male,150,95,2
Male,173,131,1
